Date,Place,Value
2024-01-01T02:00:00Z,Fjederholt Å - A18,40.829
2024-01-01T01:45:00Z,Fjederholt Å - A18,40.831
2024-01-01T01:30:00Z,Fjederholt Å - A18,40.829
2024-01-01T01:15:00Z,Fjederholt Å - A18,40.832
2024-01-01T01:00:00Z,Fjederholt Å - A18,40.835
2024-01-01T00:45:00Z,Fjederholt Å - A18,40.837
2024-01-01T00:30:00Z,Fjederholt Å - A18,40.84
2024-01-01T00:15:00Z,Fjederholt Å - A18,40.837
2024-01-01T00:00:00Z,Fjederholt Å - A18,40.838
2024-01-05T10:00:00Z,Karstoft Å - Fiskedamme,15.9013619567871
2024-01-05T09:50:00Z,Karstoft Å - Fiskedamme,15.9048536254883
2024-01-05T09:40:00Z,Karstoft Å - Fiskedamme,15.9067933990479
2024-01-05T09:30:00Z,Karstoft Å - Fiskedamme,15.9075693847656
2024-01-05T09:20:00Z,Karstoft Å - Fiskedamme,15.9040777160645
2024-01-05T09:10:00Z,Karstoft Å - Fiskedamme,15.9046595336914
2024-01-05T09:00:00Z,Karstoft Å - Fiskedamme,15.9135827209473
2024-01-05T08:50:00Z,Karstoft Å - Fiskedamme,15.9069874145508
2024-01-05T08:40:00Z,Karstoft Å - Fiskedamme,15.9085392333984
2024-01-05T08:30:00Z,Karstoft Å - Fiskedamme,15.9133888580322
2024-01-05T08:20:00Z,Karstoft Å - Fiskedamme,15.9162984802246
2024-01-05T08:10:00Z,Karstoft Å - Fiskedamme,15.9151346160889
2024-01-05T08:00:00Z,Karstoft Å - Fiskedamme,15.9139708282471
2024-01-05T07:50:00Z,Karstoft Å - Fiskedamme,15.9133888580322
2024-01-05T07:40:00Z,Karstoft Å - Fiskedamme,15.9118370391846
2024-01-05T07:30:00Z,Karstoft Å - Fiskedamme,15.918820223999
2024-01-05T07:20:00Z,Karstoft Å - Fiskedamme,15.9157165863037
2024-01-05T07:10:00Z,Karstoft Å - Fiskedamme,15.918626361084
2024-01-05T07:00:00Z,Karstoft Å - Fiskedamme,15.9184323455811
2024-01-05T06:50:00Z,Karstoft Å - Fiskedamme,15.9225059082031
2024-01-05T06:40:00Z,Karstoft Å - Fiskedamme,15.9254157592773
2024-01-05T06:30:00Z,Karstoft Å - Fiskedamme,15.918820223999
2024-01-05T06:20:00Z,Karstoft Å - Fiskedamme,15.9250276519775
2024-01-05T06:10:00Z,Karstoft Å - Fiskedamme,15.9252216674805
2024-01-05T06:00:00Z,Karstoft Å - Fiskedamme,15.9298772766113
