Group,Desc,Text,long,lat,LineGroupId,Club
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92615,55.984692,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92642,55.98497,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92686,55.985062,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92799,55.985222,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9286,55.985142,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92889,55.985161,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92922,55.985371,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92942,55.985611,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.92982,55.985851,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.93034,55.985851,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9308,55.98579,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.93126,55.985561,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.93158,55.985222,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.93186,55.985111,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.93222,55.985111,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.93278,55.985401,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.93323,55.985771,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.93351,55.986301,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.93348,55.986481,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.93315,55.98671,101,HI-LF
