Date,Place,Level,LevelRelative
2021-01-22T19:00:00Z,Skjern Å - Sandfeldvej (055414),1.641,0.527
2021-01-22T19:00:00Z,Skjern Å - Gjaldbæk bro (017898),1.837,0.711
2021-01-22T19:00:00Z,Skjern Å - Alergaard (001862),-3.164,1.017
2021-01-22T19:00:00Z,Rind Å - Arnborg kirke (054757),1.803,0.853
2021-01-22T19:00:00Z,Omme Å - Sønderskov bro (001855),-1.123,0.427
2021-01-22T19:00:00Z,Fjederholt Å - A18 (052386),0.988,0.249
2021-01-22T18:45:00Z,Vorgod Å - Vandmøllen (055416),1.305,0.297
2021-01-22T18:45:00Z,Skjern Å - Sandfeldvej (055414),1.641,0.527
2021-01-22T18:45:00Z,Skjern Å - Gjaldbæk bro (017898),1.829,0.703
2021-01-22T18:45:00Z,Skjern Å - Alergaard (001862),-3.165,1.016
2021-01-22T18:45:00Z,Rind Å - Arnborg kirke (054757),1.794,0.844
2021-01-22T18:45:00Z,Omme Å - Sønderskov bro (001855),-1.125,0.425
2021-01-22T18:45:00Z,Fjederholt Å - A18 (052386),0.985,0.246
2021-01-22T18:30:00Z,Vorgod Å - Vandmøllen (055416),1.31,0.302
2021-01-22T18:30:00Z,Skjern Å - Sandfeldvej (055414),1.642,0.528
2021-01-22T18:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.835,0.709
2021-01-22T18:30:00Z,Skjern Å - Alergaard (001862),-3.173,1.008
2021-01-22T18:30:00Z,Rind Å - Arnborg kirke (054757),1.799,0.849
2021-01-22T18:30:00Z,Omme Å - Sønderskov bro (001855),-1.124,0.426
2021-01-22T18:30:00Z,Fjederholt Å - A18 (052386),0.99,0.251
2021-01-22T18:15:00Z,Vorgod Å - Vandmøllen (055416),1.311,0.303
2021-01-22T18:15:00Z,Skjern Å - Sandfeldvej (055414),1.643,0.529
2021-01-22T18:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.837,0.711
2021-01-22T18:15:00Z,Skjern Å - Alergaard (001862),-3.176,1.005
2021-01-22T18:15:00Z,Rind Å - Arnborg kirke (054757),1.803,0.853
2021-01-22T18:15:00Z,Omme Å - Sønderskov bro (001855),-1.124,0.426
2021-01-22T18:15:00Z,Fjederholt Å - A18 (052386),0.985,0.246
