Date,Vorgod Å - Vandmøllen (055416),Skjern Å - Sandfeldvej (055414),Skjern Å - Alergaard (001862),Skjern Å - Gjaldbæk bro (017898),Rind Å - Arnborg kirke (054757),Omme Å - Sønderskov bro (001855),Fjederholt Å - A18 (052386)
2020-07-04T05:30:00Z,0.696813125610352,0.924854354858398,-4.53463483810424,0.811431503295898,0.804929504394531,-1.8457707672119141,0.496
2020-07-04T05:15:00Z,0.693025894165039,0.923023910522461,-4.53628873825073,0.8116164398193361,0.801630706787109,-1.84778271484375,0.494
2020-07-04T05:00:00Z,0.690181884765625,0.921455993652344,-4.538955898284909,0.8119961547851561,0.80143669128418,-1.849013641357422,0.492
2020-07-04T04:45:00Z,0.685707397460938,0.919720077514648,-4.53779684066772,0.807843780517578,0.7960034179687501,-1.8504340820312501,0.491
2020-07-04T04:30:00Z,0.681287155151367,0.918446884155273,-4.54497671127319,0.8042018890380861,0.7960034179687501,-1.8523756866455083,0.489
2020-07-04T04:15:00Z,0.677380065917969,0.917758102416992,-4.53667699813842,0.809282913208008,0.791928405761719,-1.8534665374755863,0.487
2020-07-04T04:00:00Z,0.675386047363281,0.9171582031250001,-4.541201992034909,0.800641403198242,0.794839019775391,-1.85532795715332,0.484
2020-07-04T03:45:00Z,0.672053604125977,0.915219497680664,-4.54795705795288,0.802138824462891,0.7903759002685551,-1.8563129119873052,0.482
2020-07-04T03:30:00Z,0.667327041625977,0.913383026123047,-4.53803113937378,0.796738357543945,0.7857187652587889,-1.8578965454101561,0.47900000000000004
2020-07-04T03:15:00Z,0.664188232421875,0.9120864105224611,-4.53913221359253,0.792645568847656,0.7841664886474611,-1.8593274383544922,0.47700000000000004
2020-07-04T03:00:00Z,0.6620102691650389,0.9101993560791021,-4.5396135520935,0.796707534790039,0.782419967651367,-1.8606528930664061,0.47500000000000003
2020-07-04T02:45:00Z,0.6578046417236331,0.9083274841308591,-4.54296949386596,0.7923304748535159,0.7804795837402341,-1.8619720916748053,0.47300000000000003
2020-07-04T02:30:00Z,0.6540083312988281,0.905928955078125,-4.54785932540893,0.78778076171875,0.777180709838867,-1.8629870300292972,0.47000000000000003
2020-07-04T02:15:00Z,0.6500885772705081,0.903498687744141,-4.54820150375366,0.7963623046875,0.7764045715332031,-1.8640647583007812,0.468
2020-07-04T02:00:00Z,0.644623870849609,0.901300811767578,-4.54699705123901,0.792384414672852,0.77368782043457,-1.8652933197021482,0.465
2020-07-04T01:45:00Z,0.643155136108398,0.899717712402344,-4.54488416671753,0.783264846801758,0.771941299438477,-1.866347702026367,0.463
2020-07-04T01:30:00Z,0.638597831726074,0.8978043365478521,-4.55174634933471,0.7869026184082031,0.768642654418945,-1.8674902038574221,0.46
2020-07-04T01:15:00Z,0.636281700134277,0.89537483215332,-4.55014951705932,0.7835805511474611,0.7674782562255861,-1.8684263305664062,0.459
